# Categories:
# 1 = Music & Audio
# 2 = Makers & To-Makes
# 3 = Nature & Discoveries
# 4 = Scientific Expositions
# 5 = Engineering & Technology
# 6 = Mathematics & Puzzles
# 7 = Visual Media & Critiques
# 8 = Entertainers & Comedy
# 9 = Philosophies & Politics
# 10 = Outdoor Sports & Climbing
# 11 = Institutes & Organizations
# 12 = Uncategorized & Uncategorizable
Channel Url, Channel Title, Category Id
http://www.youtube.com/channel/UCSy9wGvGb1PCZjWy0jFFQNw, RED 6, 8
http://www.youtube.com/channel/UCSzx-qTK2639JBWgrb6mTmw, Fields Institute, 11
http://www.youtube.com/channel/UCT118DW2mVwwtxzmBT4mKtw, 1st ADmendment, 8
http://www.youtube.com/channel/UCT7EcU7rC44DiS3RkfZzZMg, Arvind Gupta, 2
http://www.youtube.com/channel/UCT8dDpDEM80YvcNiZqdbvPg, ones and zeros, 7
http://www.youtube.com/channel/UCTmY-LBmbLugkJ0ryZfjZTQ, MrAlexTech, 5
http://www.youtube.com/channel/UCU1hNQjdgTrw6szQHUSI5Lw, HappinessHorizontal, 2
http://www.youtube.com/channel/UCUAwOBo-ZZ8S8cIH0SGoXpg, Musica e Oltre Srl, 1
http://www.youtube.com/channel/UCUGJ-yKqQHl4FSZwUmGpiUg, 回形针PaperClip, 4
http://www.youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w, The Slow Mo Guys, 7
http://www.youtube.com/channel/UCUaiGrBfRCaC6pL7ZnZjWbg, JK Brickworks, 2
http://www.youtube.com/channel/UCUeZBocfxALSUdOgNJB5ySA, Dr Ben Miles, 5
http://www.youtube.com/channel/UCUnbIK56tCdeKC_GmRP-H2A, Improbable Research, 11
http://www.youtube.com/channel/UCUoLyhTBTUnMOatEWBFM_Rg, 历史新视角, 9
http://www.youtube.com/channel/UCUqIRJJJeKgbuNAPTl_Afig, Albert Ok, 10
http://www.youtube.com/channel/UCUuvZ0skL2WYZ3rhPMZbfdA, Brick Technology, 2
http://www.youtube.com/channel/UCUzmizB92LJ9oxf5T_snZNA, BadEmpanada, 9
http://www.youtube.com/channel/UCV0t1y4h_6-2SqEpXBXgwFQ, AngeTheGreat, 7
http://www.youtube.com/channel/UCV2g02zq5y7unJ_GSr-de2w, Stable Sort, 6
http://www.youtube.com/channel/UCVSHXNNBitaPd5lYz48--yg, Tech Ingredients, 5
http://www.youtube.com/channel/UCVZlxkKqlvVqzRJXhAGq42Q, JoergSprave, 2
